dzielnica,typ_szkoly,nazwa_szkoly,nazwa_oddzialu,rozszerzenia,jezyki,prog_min,ranking25,srednia22do24
Mokotów,T,Technikum Ogrodnicze,1BTAK [O] Technik architektury krajobrazu (ang-niem*),Technik architektury krajobrazu,ang-niem,23.20,,
Mokotów,LO,VI LO im. T. Reytana,1/2 [O] biol-chem-mat (ang-niem),biol-chem-mat,ang-niem,162.65,22,18.0
Mokotów,LO,VI LO im. T. Reytana,1/1 [O] fiz-ang-mat (ang-niem),ang-fiz-mat,ang-niem,164.90,22,18.0
Mokotów,LO,VI LO im. T. Reytana,1/4 [O] biz-ang-mat (ang-hisz),ang-biz-mat,ang-hisz,165.95,22,18.0
Mokotów,LO,VI LO im. T. Reytana,1/3 [O] biol-chem-ang (ang-niem),ang-biol-chem,ang-niem,163.30,22,18.0
Mokotów,LO,X LO im. Królowej Jadwigi,1CR [O] biz-geogr-mat (ang-ros),biz-geogr-mat,ang-ros,149.40,47,44.33
Mokotów,LO,X LO im. Królowej Jadwigi,1BH [O] biol-inf-mat (ang-hisz),biol-inf-mat,ang-hisz,159.30,47,44.33
Mokotów,LO,X LO im. Królowej Jadwigi,1BN [O] biol-inf-mat (ang-niem),biol-inf-mat,ang-niem,151.20,47,44.33
Mokotów,LO,X LO im. Królowej Jadwigi,1AF [O] hist-pol-wos (ang-fra),hist-pol-wos,ang-fra,142.00,47,44.33
Mokotów,LO,X LO im. Królowej Jadwigi,1AH [O] hist-pol-wos (ang-hisz),hist-pol-wos,ang-hisz,149.05,47,44.33
Mokotów,LO,X LO im. Królowej Jadwigi,1CN [O] biz-geogr-mat (ang-niem),biz-geogr-mat,ang-niem,162.20,47,44.33
Mokotów,LO,XLII LO im. M. Konopnickiej,1a [O] geogr-ang-mat (ang-niem),ang-geogr-mat,ang-niem,131.90,69,68.67
Mokotów,LO,XLII LO im. M. Konopnickiej,1c [O] biol-chem-ang (ang-fra*),ang-biol-chem,ang-fra,138.10,69,68.67
Mokotów,LO,XLII LO im. M. Konopnickiej,1b [O] hist-ang-pol (ang-wlo*),ang-hist-pol,ang-wlo,126.00,69,68.67
Mokotów,LO,XLIII LO im. K. Wielkiego,1Bn [O] geogr-ang-mat (ang-niem),ang-geogr-mat,ang-niem,153.15,94,97.0
Mokotów,LO,XLIII LO im. K. Wielkiego,1An [O] hist-ang-wos (ang-niem),ang-hist-wos,ang-niem,137.40,94,97.0
Mokotów,LO,XLIII LO im. K. Wielkiego,1Df [O] biol-ang-pol (ang-fra),ang-biol-pol,ang-fra,123.80,94,97.0
Mokotów,LO,XLIII LO im. K. Wielkiego,1Br [O] geogr-ang-mat (ang-ros),ang-geogr-mat,ang-ros,129.40,94,97.0
Mokotów,LO,XLIII LO im. K. Wielkiego,1Cf [O] biol-chem-ang (ang-fra),ang-biol-chem,ang-fra,137.50,94,97.0
Mokotów,LO,XLIII LO im. K. Wielkiego,1Ah [O] hist-ang-wos (ang-hisz),ang-hist-wos,ang-hisz,147.95,94,97.0
Mokotów,LO,XLIII LO im. K. Wielkiego,1Ch [O] biol-chem-ang (ang-hisz),ang-biol-chem,ang-hisz,154.15,94,97.0
Mokotów,LO,XLIII LO im. K. Wielkiego,1Dh [O] biol-ang-pol (ang-hisz),ang-biol-pol,ang-hisz,141.15,94,97.0
Mokotów,LO,XLIV LO im. S. Banacha,1B2 [O] biol-chem (ang-fra),biol-chem,ang-fra,154.75,54,45.33
Mokotów,LO,XLIV LO im. S. Banacha,1C1 [O] geogr-mat (ang-niem),geogr-mat,ang-niem,156.20,54,45.33
Mokotów,LO,XLIV LO im. S. Banacha,1D1 [O] hist-ang-wos (ang-niem),ang-hist-wos,ang-niem,141.30,54,45.33
Mokotów,LO,XLIV LO im. S. Banacha,1C2 [O] geogr-mat (ang-fra),geogr-mat,ang-fra,157.95,54,45.33
Mokotów,LO,XLIV LO im. S. Banacha,1B1 [O] biol-chem (ang-niem),biol-chem,ang-niem,155.00,54,45.33
Mokotów,LO,XLIV LO im. S. Banacha,1D2 [O] hist-ang-wos (ang-fra),ang-hist-wos,ang-fra,131.30,54,45.33
Mokotów,LO,XLIV LO im. S. Banacha,1A2 [O] inf-ang-mat (ang-fra),ang-inf-mat,ang-fra,146.30,54,45.33
Mokotów,LO,XLIV LO im. S. Banacha,1A1 [O] inf-ang-mat (ang-niem),ang-inf-mat,ang-niem,158.00,54,45.33
Mokotów,LO,XLIX LO z Odd. Dwujęzycznymi im. J. W. Goethego,1D [D] hist-ang-wos (niem-ang),ang-hist-wos,ang-niem,145.35,48,51.67
Mokotów,LO,XLIX LO z Odd. Dwujęzycznymi im. J. W. Goethego,1B_2 [O] geogr-ang-niem (ang-niem*),ang-geogr-niem,ang-niem,158.00,48,51.67
Mokotów,LO,XLIX LO z Odd. Dwujęzycznymi im. J. W. Goethego,1C [O] inf-ang-mat (ang-niem*),ang-inf-mat,ang-niem,158.70,48,51.67
Mokotów,LO,XLIX LO z Odd. Dwujęzycznymi im. J. W. Goethego,1A [O] hist-ang-pol (ang-niem*),ang-hist-pol,ang-niem,145.30,48,51.67
Mokotów,LO,XLIX LO z Odd. Dwujęzycznymi im. J. W. Goethego,1B_1 [O] geogr-ang-hiszp (ang-hisz*),ang-geogr-hiszp,ang-hisz,161.30,48,51.67
Mokotów,LO,XXVIII LO im. J. Kochanowskiego,1B1 [O] fiz-inf-mat (ang-niem),fiz-inf-mat,ang-niem,173.85,23,17.33
Mokotów,LO,XXVIII LO im. J. Kochanowskiego,1C1 [O] geogr-niem-mat (ang-niem),geogr-mat-niem,ang-niem,169.45,23,17.33
Mokotów,LO,XXVIII LO im. J. Kochanowskiego,1B2 [O] fiz-inf-mat (ang-hisz),fiz-inf-mat,ang-hisz,172.90,23,17.33
Mokotów,LO,XXVIII LO im. J. Kochanowskiego,1C2 [O] geogr-hiszp-mat (ang-hisz),geogr-hiszp-mat,ang-hisz,175.20,23,17.33
Mokotów,LO,XXVIII LO im. J. Kochanowskiego,1D1 [O] biol-chem (ang-niem),biol-chem,ang-niem,170.85,23,17.33
Mokotów,LO,XXVIII LO im. J. Kochanowskiego,1E1 [O] hist-pol-wos (ang-niem),hist-pol-wos,ang-niem,159.20,23,17.33
Mokotów,LO,XXVIII LO im. J. Kochanowskiego,1D2 [O] biol-chem (ang-fra),biol-chem,ang-fra,171.00,23,17.33
Mokotów,LO,XXVIII LO im. J. Kochanowskiego,1E2 [O] hist-pol-wos (ang-hisz),hist-pol-wos,ang-hisz,166.85,23,17.33
Mokotów,LO,XXXIV LO z Oddziałami Dwujęzycznymi im. M. de Cervantesa,0h [DW] geogr-hist-hiszp (hisz-ang),geogr-hist-hiszp,ang-hisz,210.40,30,39.33
Mokotów,LO,XXXIV LO z Oddziałami Dwujęzycznymi im. M. de Cervantesa,1c [O] h.szt.-hiszp-pol (hisz*-ang),h.szt.-hiszp-pol,ang-hisz,181.40,30,39.33
Mokotów,LO,XXXIV LO z Oddziałami Dwujęzycznymi im. M. de Cervantesa,1a [O] geogr-hiszp-mat (hisz*-ang),geogr-hiszp-mat,ang-hisz,161.00,30,39.33
Mokotów,LO,XXXIV LO z Oddziałami Dwujęzycznymi im. M. de Cervantesa,1d [O] ang-hiszp-pol (ang-hisz*),ang-hiszp-pol,ang-hisz,155.85,30,39.33
Ochota,BS I st.,Branżowa Szkoła Samochodowa I stopnia nr 2,1AB/bs1 [O] Mechanik pojazdów samochodowych (ang),Mechanik pojazdów samochodowych,ang,49.00,,
Ochota,LO,CLX LO im. gen. dyw. S. Roweckiego „Grota”,1aF [O] geogr-mat (ang-fra),geogr-mat,ang-fra,116.45,97,94.67
Ochota,LO,CLX LO im. gen. dyw. S. Roweckiego „Grota”,1bH [O] ang-hiszp-pol (ang-hisz),ang-hiszp-pol,ang-hisz,137.05,97,94.67
Ochota,LO,CLX LO im. gen. dyw. S. Roweckiego „Grota”,1cH [O] biol-chem (ang-hisz),biol-chem,ang-hisz,135.35,97,94.67
Ochota,LO,CLX LO im. gen. dyw. S. Roweckiego „Grota”,1aN [O] geogr-mat (ang-niem),geogr-mat,ang-niem,131.05,97,94.67
Ochota,LO,CLX LO im. gen. dyw. S. Roweckiego „Grota”,1cN [O] biol-chem (ang-niem),biol-chem,ang-niem,121.20,97,94.67
Ochota,LO,CLX LO im. gen. dyw. S. Roweckiego „Grota”,1dF [O] biz-ang (ang-fra),ang-biz,ang-fra,139.05,97,94.67
Ochota,LO,CLX LO im. gen. dyw. S. Roweckiego „Grota”,1dN [O] biz-ang (ang-niem),ang-biz,ang-niem,131.85,97,94.67
Ochota,LO,CLX LO im. gen. dyw. S. Roweckiego „Grota”,1bN [O] ang-niem-pol (ang-niem),ang-niem-pol,ang-niem,115.30,97,94.67
Ochota,LO,"LXIX LO z Oddziałami Integracyjnymi im. Bohaterów Powstania
Warszawskiego 1944",1C/1 [I-o] biol-ang (ang-niem),ang-biol,ang-niem,130.15,,
Ochota,LO,"LXIX LO z Oddziałami Integracyjnymi im. Bohaterów Powstania
Warszawskiego 1944",1B/1 [I-o] geogr-ang (ang-hisz),ang-geogr,ang-hisz,113.30,,
Ochota,LO,"LXIX LO z Oddziałami Integracyjnymi im. Bohaterów Powstania
Warszawskiego 1944","1A [O] ang-pol (ang,niem-hisz)",ang-pol,ang-hisz-niem,114.05,,
Ochota,LO,"LXIX LO z Oddziałami Integracyjnymi im. Bohaterów Powstania
Warszawskiego 1944","1D [O] inf-mat (ang-niem,ros)",inf-mat,ang-niem-ros,121.70,,
Ochota,T,Technikum nr 10 im. E. Kwiatkowskiego,1AE(n) [O] Technik ekonomista (ang-niem),Technik ekonomista,ang-niem,64.90,,
Ochota,T,Technikum nr 10 im. E. Kwiatkowskiego,1AR [O] Technik reklamy (ang-ros),Technik reklamy,ang-ros,64.15,,
Ochota,T,Technikum nr 10 im. E. Kwiatkowskiego,1AE(r) [O] Technik ekonomista (ang-ros),Technik ekonomista,ang-ros,66.65,,
Ochota,T,Technikum nr 10 im. E. Kwiatkowskiego,1AH(r) [O] Technik handlowiec (ang-ros),Technik handlowiec,ang-ros,26.95,,
Ochota,T,Technikum nr 10 im. E. Kwiatkowskiego,1AH(n) [O] Technik handlowiec (ang-niem),Technik handlowiec,ang-niem,64.30,,
Ochota,T,Technikum nr 10 im. E. Kwiatkowskiego,1BR [O] Technik reklamy (ang-niem),Technik reklamy,ang-niem,24.40,,
Ochota,T,Technikum nr 24,"1BI [O] Technik informatyk (ang-niem,ros)",Technik informatyk,ang-niem-ros,45.00,,
Ochota,T,Technikum nr 24,"1CI [O] Technik informatyk (ang-niem,ros)",Technik informatyk,ang-niem-ros,59.75,,
Ochota,T,Technikum nr 24,"1AI [O] Technik informatyk (ang-niem,ros)",Technik informatyk,ang-niem-ros,80.40,,
Ochota,T,Technikum nr 24,"1EGP [O] Technik grafiki i poligrafii cyfrowej (ang-niem,ros)",Technik grafiki i poligrafii cyfrowej,ang-niem-ros,84.40,,
Ochota,T,Technikum nr 24,"1DGP [O] Technik grafiki i poligrafii cyfrowej (ang-niem,ros)",Technik grafiki i poligrafii cyfrowej,ang-niem-ros,115.20,,
Ochota,T,Technikum nr 7,1el [O] Technik elektryk (ang-niem),Technik elektryk,ang-niem,62.15,,
Ochota,T,Technikum nr 7,1eg [O] Technik elektroenergetyk transportu szynowego (ang-niem),Technik elektroenergetyk transportu szynowego,ang-niem,66.10,,
Ochota,T,Technikum nr 7,1tk [O] Technik transportu kolejowego (ang-niem),Technik transportu kolejowego,ang-niem,88.75,,
Ochota,T,Technikum nr 7,1oze [O] Technik urządzeń i systemów energetyki odnawialnej (ang-niem),Technik urządzeń i systemów energetyki odnawialnej,ang-niem,35.40,,
Ochota,T,Technikum nr 7,1lb [O] Technik logistyk (ang-niem),Technik logistyk,ang-niem,72.35,,
Ochota,T,Technikum nr 7,1lg [O] Technik logistyk (ang-niem),Technik logistyk,ang-niem,37.85,,
Ochota,T,Technikum Samochodowe nr 1 im. R. M. Pijanowskiego,1AB [O] Technik pojazdów samochodowych (ang-niem),Technik pojazdów samochodowych,ang-niem,79.40,,
Ochota,LO,VII LO im. J. Słowackiego,1B [O] geogr-niem-mat (ang-niem*),geogr-mat-niem,ang-niem,171.35,13,12.67
Ochota,LO,VII LO im. J. Słowackiego,1A [O] hist-pol-wos (ang-fra*),hist-pol-wos,ang-fra,168.05,13,12.67
Ochota,LO,VII LO im. J. Słowackiego,1C [O] fiz-inf-mat (ang-niem*),fiz-inf-mat,ang-niem,172.85,13,12.67
Ochota,LO,VII LO im. J. Słowackiego,1D [O] hist-pol-wos (ang-fra*),hist-pol-wos,ang-fra,166.30,13,12.67
Ochota,LO,VII LO im. J. Słowackiego,1E [O] biol-chem (ang-niem*),biol-chem,ang-niem,172.10,13,12.67
Ochota,LO,XIV LO im. S. Staszica,"1AB [O] fiz-mat (ang-niem,hisz*)",fiz-mat,ang-hisz-niem,164.45,1,1.0
Ochota,LO,XIV LO im. S. Staszica,"1E [O] chem-fiz-mat (ang-niem,hisz*)",chem-fiz-mat,ang-hisz-niem,172.50,1,1.0
Ochota,LO,XIV LO im. S. Staszica,"1C [O] fiz-inf-mat (ang-niem,hisz*)",fiz-inf-mat,ang-hisz-niem,181.75,1,1.0
Ochota,LO,XIV LO im. S. Staszica,"1F [O] fiz-mat (ang-niem,hisz*)",fiz-mat,ang-hisz-niem,176.15,1,1.0
Ochota,LO,XIV LO im. S. Staszica,"1D [O] biol-chem-mat (ang-niem,hisz*)",biol-chem-mat,ang-hisz-niem,179.55,1,1.0
Ochota,LO,XLVIII LO im. E. Dembowskiego,"1B [O] biol-chem (ang-niem*,ros*)",biol-chem,ang-niem-ros,146.30,62,72.33
Ochota,LO,XLVIII LO im. E. Dembowskiego,"1A [O] hist-pol-wos (ang-niem*,ros*)",hist-pol-wos,ang-niem-ros,131.25,62,72.33
Ochota,LO,XLVIII LO im. E. Dembowskiego,"1D_geo [O] geogr-inf-mat (ang-niem*,ros*)",geogr-inf-mat,ang-niem-ros,135.90,62,72.33
Ochota,LO,XLVIII LO im. E. Dembowskiego,"1C [O] biz-ang-mat (ang-niem*,ros*)",ang-biz-mat,ang-niem-ros,149.30,62,72.33
Ochota,LO,XLVIII LO im. E. Dembowskiego,"1D_fiz [O] fiz-inf-mat (ang-niem*,ros*)",fiz-inf-mat,ang-niem-ros,141.50,62,72.33
Ochota,LO,XXI LO im. H. Kołłątaja,"1A [O] fiz-inf-mat (ang-hisz*,niem*)",fiz-inf-mat,ang-hisz-niem,161.35,32,32.33
Ochota,LO,XXI LO im. H. Kołłątaja,"1F [O] h.szt.-inf-mat (ang-hisz*,niem*)",h.szt.-inf-mat,ang-hisz-niem,153.55,32,32.33
Ochota,LO,XXI LO im. H. Kołłątaja,"1D [D] biol-chem-ang (ang-fra*,niem*)",ang-biol-chem,ang-fra-niem,167.55,32,32.33
Ochota,LO,XXI LO im. H. Kołłątaja,"1C [D] inf-ang-mat (ang-fra*,hisz*)",ang-inf-mat,ang-fra-hisz,174.86,32,32.33
Ochota,LO,XXI LO im. H. Kołłątaja,"1E [O] hist-ang-wos (ang-fra*,niem*)",ang-hist-wos,ang-fra-niem,148.30,32,32.33
Ochota,LO,XXI LO im. H. Kołłątaja,"1B [O] biz-geogr-mat (ang-fra*,hisz*)",biz-geogr-mat,ang-fra-hisz,164.55,32,32.33
Praga-Południe,BS I st.,Branżowa Szkoła I stopnia nr 20 im. prof. S. Bergera,1c [O] Cukiernik (ang),Cukiernik,ang,29.85,,
Praga-Południe,BS I st.,Branżowa Szkoła I stopnia nr 20 im. prof. S. Bergera,1a [O] Kucharz (ang),Kucharz,ang,39.85,,
Praga-Południe,BS I st.,"Branżowa Szkoła Spożywczo-Gastronomiczna I stopnia im.
Jana Pawła II",1ci [I-o] Cukiernik (ang),Cukiernik,ang,31.75,,
Praga-Południe,BS I st.,"Branżowa Szkoła Spożywczo-Gastronomiczna I stopnia im.
Jana Pawła II",1a [O] Kucharz (ang),Kucharz,ang,23.70,,
Praga-Południe,BS I st.,"Branżowa Szkoła Spożywczo-Gastronomiczna I stopnia im.
Jana Pawła II",1a-k [O] Kelner (ang),Kelner,ang,40.30,,
Praga-Południe,BS I st.,"Branżowa Szkoła Spożywczo-Gastronomiczna I stopnia im.
Jana Pawła II",1b [I-o] Kucharz (ang),Kucharz,ang,26.95,,
Praga-Południe,LO,CXI LO z Oddziałami Integracyjnymi im. S. Kisielewskiego,1Aa [I-o] pol (ang-niem),pol,ang-niem,96.90,,
Praga-Południe,LO,CXI LO z Oddziałami Integracyjnymi im. S. Kisielewskiego,1Bm [O] pol (ang-niem),pol,ang-niem,79.90,,
Praga-Południe,LO,IV LO im. A. Mickiewicza,1a [O] fiz-ang-mat (ang-niem),ang-fiz-mat,ang-niem,151.00,51,47.67
Praga-Południe,LO,IV LO im. A. Mickiewicza,1dj [D] geogr-mat (ang-hisz),geogr-mat,ang-hisz,173.73,51,47.67
Praga-Południe,LO,IV LO im. A. Mickiewicza,1l [O] biol-chem-mat (ang-niem),biol-chem-mat,ang-niem,158.85,51,47.67
Praga-Południe,LO,IV LO im. A. Mickiewicza,1s [O] geogr-ang-mat (ang-niem),ang-geogr-mat,ang-niem,159.95,51,47.67
Praga-Południe,LO,IV LO im. A. Mickiewicza,1i [O] inf-ang-mat (ang-hisz),ang-inf-mat,ang-hisz,153.05,51,47.67
Praga-Południe,LO,LXXII LO im. gen. J. Jasińskiego,1b-h [O] geogr-ang-mat (ang-hisz*),ang-geogr-mat,ang-hisz,129.90,,
Praga-Południe,LO,LXXII LO im. gen. J. Jasińskiego,1c-n [O] biol-chem-ang (ang-niem*),ang-biol-chem,ang-niem,130.45,,
Praga-Południe,LO,LXXII LO im. gen. J. Jasińskiego,1a-n [O] geogr-ang-wos (ang-niem*),ang-geogr-wos,ang-niem,118.75,,
Praga-Południe,LO,LXXII LO im. gen. J. Jasińskiego,1a-h [O] geogr-ang-wos (ang-hisz*),ang-geogr-wos,ang-hisz,132.25,,
Praga-Południe,LO,LXXII LO im. gen. J. Jasińskiego,1b-n [O] geogr-ang-mat (ang-niem*),ang-geogr-mat,ang-niem,99.70,,
Praga-Południe,LO,LXXII LO im. gen. J. Jasińskiego,1c-r [O] biol-chem-ang (ang-ros*),ang-biol-chem,ang-ros,108.40,,
Praga-Południe,LO,LXXXVII LO im. gen. L. Okulickiego,1LB [O] biol-chem-ang (ang-niem),ang-biol-chem,ang-niem,115.00,,
Praga-Południe,T,"Technikum Gastronomiczno-Hotelarskie nr 2 im. prof. S.
Bergera",1h [O] Technik hotelarstwa (ang-niem),Technik hotelarstwa,ang-niem,51.90,,
Praga-Południe,T,"Technikum Gastronomiczno-Hotelarskie nr 2 im. prof. S.
Bergera",1d [O] Technik żywienia i usług gastronomicznych (ang-niem),Technik żywienia i usług gastronomicznych,ang-niem,59.25,,
Praga-Południe,T,Technikum Łączności im. prof. dr inż. J. Groszkowskiego,1a [O] Technik telekomunikacji (ang-niem),Technik telekomunikacji,ang-niem,58.35,,
Praga-Południe,T,Technikum Łączności im. prof. dr inż. J. Groszkowskiego,1d [O] Technik teleinformatyk (ang-niem),Technik teleinformatyk,ang-niem,59.40,,
Praga-Południe,T,Technikum Łączności im. prof. dr inż. J. Groszkowskiego,1e [O] Technik szerokopasmowej komunikacji elektronicznej (ang-niem),Technik szerokopasmowej komunikacji elektronicznej,ang-niem,59.20,,
Praga-Południe,T,Technikum Łączności im. prof. dr inż. J. Groszkowskiego,1b [O] Technik informatyk (ang-niem),Technik informatyk,ang-niem,111.65,,
Praga-Południe,T,Technikum Łączności im. prof. dr inż. J. Groszkowskiego,1c [O] Technik programista (ang-niem),Technik programista,ang-niem,122.85,,
Praga-Południe,T,Technikum nr 12,1AT [O] Technik organizacji turystyki (ang-hisz),Technik organizacji turystyki,ang-hisz,67.50,,
Praga-Południe,T,Technikum nr 12,1AL [O] Technik logistyk (ang-niem),Technik logistyk,ang-niem,88.80,,
Praga-Południe,T,Technikum nr 2 z Oddziałami Integracyjnymi,1ae [I-o] Technik ekonomista (ang-niem),Technik ekonomista,ang-niem,78.25,,
Praga-Południe,T,Technikum nr 2 z Oddziałami Integracyjnymi,1br [I-o] Technik reklamy (ang-niem),Technik reklamy,ang-niem,95.85,,
Praga-Południe,T,Technikum nr 2 z Oddziałami Integracyjnymi,1cR [I-o] Technik rachunkowości (ang-niem),Technik rachunkowości,ang-niem,27.45,,
Praga-Południe,T,Technikum nr 27 im. prof. J. Zawadzkiego,1FA [O] Technik usług fryzjerskich (ang-niem),Technik usług fryzjerskich,ang-niem,41.50,,
Praga-Południe,T,Technikum nr 27 im. prof. J. Zawadzkiego,1TA [O] Technik analityk (ang-niem),Technik analityk,ang-niem,55.65,,
Praga-Południe,T,Technikum nr 27 im. prof. J. Zawadzkiego,1TK [O] Technik chłodnictwa i klimatyzacji (ang-niem),Technik chłodnictwa i klimatyzacji,ang-niem,50.75,,
Praga-Południe,T,Technikum Spożywczo-Gastronomiczne im. Jana Pawła II,1ATT [O] Technik żywienia i usług gastronomicznych (ang-hisz),Technik żywienia i usług gastronomicznych,ang-hisz,47.50,,
Praga-Południe,T,Technikum Spożywczo-Gastronomiczne im. Jana Pawła II,1AT [O] Technik żywienia i usług gastronomicznych (ang-niem),Technik żywienia i usług gastronomicznych,ang-niem,38.15,,
Praga-Południe,LO,XCIX LO z Oddziałami Dwujęzycznymi im. Z. Herberta,"1F [O] biol-chem-mat (ang-niem*,fra*,ros)",biol-chem-mat,ang-fra-niem-ros,117.70,82,63.0
Praga-Południe,LO,XCIX LO z Oddziałami Dwujęzycznymi im. Z. Herberta,1D_n [O] geogr-ang-mat (ang-niem),ang-geogr-mat,ang-niem,145.75,82,63.0
Praga-Południe,LO,XCIX LO z Oddziałami Dwujęzycznymi im. Z. Herberta,"1B [O] fiz-inf-mat (ang-niem*,fra*,ros)",fiz-inf-mat,ang-fra-niem-ros,82.30,82,63.0
Praga-Południe,LO,XCIX LO z Oddziałami Dwujęzycznymi im. Z. Herberta,1D_h [O] geogr-ang-mat (ang-hisz),ang-geogr-mat,ang-hisz,151.80,82,63.0
Praga-Południe,LO,XCIX LO z Oddziałami Dwujęzycznymi im. Z. Herberta,"1A [O] hist-ang-pol (ang-niem*,fra*,ros)",ang-hist-pol,ang-fra-niem-ros,129.70,82,63.0
Praga-Południe,LO,XCIX LO z Oddziałami Dwujęzycznymi im. Z. Herberta,1E_h [D] geogr-mat (ang-hisz),geogr-mat,ang-hisz,138.88,82,63.0
